index,in,class,name,val_2018_1,val_2018_2,val_2018_3,val_2018_4,val_2019_1,val_2019_2,val_2019_3,val_2019_4
1052,국회,국회의원,하태경,953781,511585,19500,583818,1188650,499985,13200,818081
1053,국회,국회의원,한선교,792920,485038,66840,0,828624,443880,56990,0
1054,국회,국회의원,한정애,520000,282885,7580,0,550000,466401,42450,0
1055,국회,국회의원,함진규,518230,192640,30020,314924,656920,178451,26600,626547
1056,국회,국회의원,홍문종,11487171,2802293,94680,6785485,12319493,2799889,144080,6862127
1057,국회,국회의원,홍문표,480670,526444,17920,0,494950,567251,15620,30000
1058,국회,국회의원,홍영표,477274,499008,15230,97206,490106,612137,0,86585
1059,국회,국회의원,홍의락,1993589,739659,46970,0,2093098,772942,43700,0
1060,국회,국회의원,홍익표,1254650,650404,33690,419714,1315650,683221,64080,358949
1061,국회,국회의원,홍일표,2603585,2629772,55000,417500,2841528,2582793,62000,417500
1062,국회,국회의원,홍철호,1366403,4311132,130160,389000,1320174,4815781,92910,0
1063,국회,국회의원,황영철,284000,314146,9000,0,314000,292031,9000,0
1064,국회,국회의원,황주홍,3002409,1290168,57310,1290000,3211287,1368922,45950,1330000
1065,국회,국회의원,황희,400000,107821,53246,295123,400000,170734,39550,235960
1066,국회,국회의장,문희상,3316467,314120,19981,3463772,3328663,349738,36100,3453779
1067,국회,정책연구위원,안병일,281000,21217,20900,204583,295000,30560,19140,198083
1068,국회,정책연구위원,오기형,1002443,864940,4750,0,1046443,771365,4750,0
1069,국회,정책연구위원,이재성,860542,468610,38000,476193,860542,526981,38000,463269
1070,국회,정책연구위원,이한규,143000,42744,12320,98857,162000,29742,10760,101748
1071,국회,정책연구위원,정춘생,400000,185442,2530,585,400000,220596,2530,0
1072,국회도서관,국회도서관장,허용범,825655,189814,16720,363000,843800,346980,14100,503000
1073,국회도서관,의회정보실장,최시억,395000,233430,10000,219987,395004,235229,9800,219987
1074,국회사무처,관리관,박철규,693894,385888,1850,182509,725151,428366,1570,188280
1075,국회사무처,국회사무총장,유인태,433143,1038687,7020,100000,1003143,886255,5940,510000
1076,국회사무처,법제실장,이용준,1172946,122810,35000,587017,1276050,144915,34690,727368
1077,국회사무처,사무차장,김수흥,944679,310952,7480,355943,983459,350808,7230,307336
1078,국회사무처,의장비서실장,박수현,0,28880,0,257650,0,30067,0,255550
1079,국회사무처,입법차장,한공식,1814095,686177,25500,0,2164915,690683,21600,190000
1080,국회예산정책처,국회예산정책처장,김춘순,900000,515411,19500,76339,2640000,115341,16000,1227210
1081,국회예산정책처,예산분석실장,이승재,406373,595458,13000,17611,434823,633178,12390,22145
1082,국회예산정책처,추계세제분석실장,정문종,208355,301665,17490,366,208964,305779,16000,0
1083,국회운영위원회,수석전문위원,김승기,667000,827873,45500,430000,724000,872228,42980,430000
1084,국회입법조사처,입법조사처장,이내영,1985080,3083161,14000,275388,1314234,4431256,13000,311299
1085,국회입법조사처,정치행정조사실장,김영일,217000,15708,11450,207230,245000,20765,9840,196129
1086,군사망사고진상규명위원회,위원장,이인람,2632580,504983,116500,1616959,2632580,509603,116500,1616959
1087,금융위원회,부위원장,김용범,736000,238030,7720,0,1237994,655572,36580,0
1088,금융위원회,사무처장,손병두,640000,1313659,15440,500000,1096000,483836,14380,0
1089,금융위원회,상임위원,이성호,590868,1654786,2950,358478,590868,872804,2950,138832
1090,금융위원회,위원장,최종구,962062,508138,4390,0,1130024,589518,3640,0
